﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5IMUu5GHSed7WFfVxdHrOM","A Dancing - Original Mix","Discoslap","A Dancing (Original Mix)","1","1","317419","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:1i5ba0yC9TngKaDKQRZv0V","Easy - Radio Edit","Nhan Solo, FML","Easy","1","1","214000","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:2d8D7uk3tbAThjRkdfrx9c","Voyage voyage","Desireless","François","1","1","266600","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:6XHNIbru8xGohLzHNgxQvF","Forever Young - 2019 Remaster","Alphaville","Forever Young (Super Deluxe Edition; 2019 Remaster)","1","6","226000","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:1n40y8r6WPDBER3wiX3RYw","Pump It Up - Radio Edit","Danzel","The Name Of The Jam","1","2","225506","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:5TmFTHZp7HjBXjjsFvCY6h","Destination Calabria - Radio Edit","Alex Gaudino, Crystal Waters","Destination Calabria","1","1","223111","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:68OfHQEOCSxNG2wb73cxrJ","If You... - Disco Mix","Magic Box","If You...","1","1","323906","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:36xsgGPL8pgiAO9gzMZwpl","The Killer's Song - The Killer's Song Club Edit","Carolina Marquez","Angel De Fuego (10Th Anniversary)","1","13","223529","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:6L54wM12STr1kS8nPjPIaS","Summer Jam - Radio Edit","The Underdog Project","Summer Jam","1","1","213933","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:2jrJEy61zyESXv9sW8bAx6","Mr. Brightside - Jacques Lu Cont's Thin White Duke Mix","The Killers, Jacques Lu Cont","Mr. Brightside (Remixes)","1","1","530080","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:6lc1Rq31ILjpydczoURQPb","Mr. Saxobeat","Alexandra Stan","Saxobeats","1","1","195105","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:2VMxUaruqkrEVRzCUgmrUy","Shining Star - Gianluca Motta Edit","Get Far, Gianluca Motta","Shining Star","1","4","220093","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
